,cardholder_info,credit_card_details,billing_address,reason_for_the_decline,transaction_info,transaction_references,fees
83,Full Name :Paul Williams                                                    Phone:+1-477-070-2993x384                                                    Email:christina14@hotmail.com                                                    Personal Number:                              (626)786-0644x350,Expiritaion date:09/23                                                    Card Type:visa*****2509                                                    Bin Country Code:DZ,Country:ET                                                    Zip Code:75785                                                    City:Adammouth                                                    Address:0166 Stevenson Squares,Amount :969.64                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 180.5.182.231                                                    Order no': 37163b07-6dcb-475f-9041-13104d2f7a3c                                                    Source: ApprovedCharge                                                    Date:2021-01-30 02:50:00                            Approval Number: 1412747759Bank reference number:    YCYuZnMmbYXlYBDmComment:                    Organized national portalReference Number 1: 6296Card Present: NoReference Number 2: fEKeBgrhZGICzolR,Original transaction:,Ratio Fee:48.48                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
84,Full Name :Patricia Daniels                                                    Phone:134-014-3348x5519                                                    Email:jlarson@taylor.com                                                    Personal Number:                              +1-394-110-2418x4095,Expiritaion date:09/29                                                    Card Type:mastercard*****1721                                                    Bin Country Code:MN,Country:PS                                                    Zip Code:12984                                                    City:East Nicolefort                                                    Address:00387 Johnston Dam Suite 632,Reply Code: 5471                            big,Amount :100.71                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 58.156.39.207                                                    Order no': 5de095ab-99ab-4515-87b1-859b3933724f                                                    Source: ApprovedCharge                                                    Date:2021-05-01 10:30:37                            Approval Number: 0365160776Bank reference number:    xmaUsjpQgQpxNclEComment:                    Optional value-added superstructureReference Number 1: 1627Card Present: NoReference Number 2: DgRYGQVbQHAVdQib,Original transaction:,Ratio Fee:5.04                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
85,Full Name :Maria Jackson                                                    Phone:354.430.1988x67620                                                    Email:mccannbrandon@dean.com                                                    Personal Number:                              247.100.2355x795,Expiritaion date:09/26                                                    Card Type:visa*****0614                                                    Bin Country Code:LV,Country:BG                                                    Zip Code:95231                                                    City:West Lisamouth                                                    Address:82636 Robert Fields,Amount :316.32                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 53.24.148.215                                                    Order no': d3e292b1-2166-48fc-93ac-629354f5c6d2                                                    Source: ApprovedCharge                                                    Date:2021-12-27 08:31:41                            Approval Number: 1222301989Bank reference number:    RuQxduKJFibaBpxGComment:                    Team-oriented foreground focus groupReference Number 1: 9769Card Present: NoReference Number 2: UBnkuwHLtjxEZkZI,Original transaction:,Ratio Fee:15.82                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
86,Full Name :Brandi Fernandez DDS                                                    Phone:838.640.0401x7915                                                    Email:jeffrey53@ward.info                                                    Personal Number:                              (084)788-4050x2761,Expiritaion date:02/26                                                    Card Type:mastercard*****0372                                                    Bin Country Code:BY,Country:YE                                                    Zip Code:26813                                                    City:South Jeffreychester                                                    Address:8106 Sharp Harbors,Amount :837.17                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 169.68.143.201                                                    Order no': fc8ffc71-e18e-4dd2-8de8-604ed0c4739e                                                    Source: ApprovedCharge                                                    Date:2021-04-05 21:51:52                            Approval Number: 0192618806Bank reference number:    hVaxhYgfARdNlgrLComment:                    Fundamental neutral circuitReference Number 1: 8301Card Present: NoReference Number 2: lUTaLpJBEpfDmHEw,Original transaction:,Ratio Fee:41.86                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
87,Full Name :Brandi Fernandez DDS                                                    Phone:838.640.0401x7915                                                    Email:jeffrey53@ward.info                                                    Personal Number:                              (084)788-4050x2761,Expiritaion date:02/26                                                    Card Type:mastercard*****0372                                                    Bin Country Code:BY,Country:YE                                                    Zip Code:26813                                                    City:South Jeffreychester                                                    Address:8106 Sharp Harbors,Amount :837.17                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 169.68.143.201                                                    Order no': fc8ffc71-e18e-4dd2-8de8-604ed0c4739e                                                    Source: ApprovedCharge                                                    Date:2021-04-05 21:51:52                            Approval Number: 0192618806Bank reference number:    hVaxhYgfARdNlgrLComment:                    Fundamental neutral circuitReference Number 1: 8301Card Present: NoReference Number 2: lUTaLpJBEpfDmHEw,Original transaction:,Ratio Fee:41.86                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
88,Full Name :Hunter Boyd                                                    Phone:001-068-043-7525x385                                                    Email:reynoldsdawn@washington-brown.com                                                    Personal Number:                              959-435-8020,Expiritaion date:09/30                                                    Card Type:visa*****0377                                                    Bin Country Code:EG,Country:MK                                                    Zip Code:85475                                                    City:South Krista                                                    Address:480 Christopher Mills,Reply Code: 3625,Amount :432.29                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 181.228.26.160                                                    Order no': 72c230d7-ee73-4991-9da0-8094127a6dc8                                                    Source: ApprovedCharge                                                    Date:2020-11-05 14:49:23                            Approval Number: 0846767481Bank reference number:    CgHlqkSQNYQAQyyqComment:                    Synchronized bandwidth-monitored migrationReference Number 1: 615Card Present: NoReference Number 2: CqoeNQELzhGGuqMK,Original transaction:,Ratio Fee:21.61                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
89,Full Name :Richard Roberson                                                    Phone:(480)515-7548                                                    Email:justin80@russell-whitney.com                                                    Personal Number:                              +1-006-501-4322x847,Expiritaion date:10/26                                                    Card Type:mastercard*****5174                                                    Bin Country Code:MH,Country:CD                                                    Zip Code:17432                                                    City:West Sandra                                                    Address:2424 Mullen Prairie,Reply Code: 6444                            blood,Amount :122.44                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 210.76.22.179                                                    Order no': 359086ef-cbb9-41f4-8770-03967cc66905                                                    Source: ApprovedCharge                                                    Date:2021-04-12 02:45:38                            Approval Number: 100724903XBank reference number:    TuHRxDNCNrxvHxtjComment:                    Organized real-time forecastReference Number 1: 4264Card Present: NoReference Number 2: weFqUalHjSaWHAex,Original transaction:,Ratio Fee:6.12                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
90,Full Name :Lacey Phillips                                                    Phone:222-722-8367x47299                                                    Email:tamara15@yahoo.com                                                    Personal Number:                              4790646708,Expiritaion date:09/26                                                    Card Type:visa*****4618                                                    Bin Country Code:PG,Country:AD                                                    Zip Code:92709                                                    City:Adamside                                                    Address:61114 West Cliffs Apt. 268,Amount :439.46                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 54.79.25.16                                                    Order no': c8671384-7999-4f1b-ab47-9b7ed0f19475                                                    Source: ApprovedCharge                                                    Date:2021-07-27 07:25:57                            Approval Number: 1594315620Bank reference number:    uHHefkBCpdqgcOxeComment:                    Triple-buffered solution-oriented artificial intelligenceReference Number 1: 5576Card Present: NoReference Number 2: jhBdceMtLKkirmbQ,Original transaction:,Ratio Fee:21.97                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
91,Full Name :Kevin Mcdonald                                                    Phone:5895287637                                                    Email:shawn12@yahoo.com                                                    Personal Number:                              (197)807-7947x84657,Expiritaion date:03/22                                                    Card Type:visa*****7372                                                    Bin Country Code:MC,Country:TN                                                    Zip Code:84524                                                    City:South Annamouth                                                    Address:8559 Rebecca Street,Amount :95.7                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 57.75.181.183                                                    Order no': 31964c1a-a2c1-4c54-b520-1382d6385a07                                                    Source: ApprovedCharge                                                    Date:2021-02-17 10:03:16                            Approval Number: 1673726984Bank reference number:    qQQfuqnDmpteIKbJComment:                    Multi-tiered fault-tolerant structureReference Number 1: 8099Card Present: NoReference Number 2: tUtAvjpUpVHCSmsu,Original transaction:,Ratio Fee:4.79                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
92,Full Name :Jeffery Henderson                                                    Phone:873-687-4740                                                    Email:charlesbartlett@chandler-armstrong.com                                                    Personal Number:                              +1-652-979-4451x531,Expiritaion date:01/22                                                    Card Type:mastercard*****8604                                                    Bin Country Code:NR,Country:MW                                                    Zip Code:85577                                                    City:South Georgebury                                                    Address:0943 Michelle Trail Apt. 206,Reply Code: 2031                            name,Amount :850.97                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 98.205.99.203                                                    Order no': 6f67c8ca-627c-4a24-9c28-5aeb9cdfc5ba                                                    Source: ApprovedCharge                                                    Date:2021-11-29 23:47:35                            Approval Number: 0286663651Bank reference number:    HgTcQBWKNPfRtPrzComment:                    Multi-lateral intermediate websiteReference Number 1: 1677Card Present: NoReference Number 2: VAmbSBLuqoiDDWUw,Original transaction:,Ratio Fee:42.55                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
93,Full Name :Claudia Anderson                                                    Phone:501-083-7987                                                    Email:mullinsmatthew@hotmail.com                                                    Personal Number:                              +1-410-123-2633,Expiritaion date:08/22                                                    Card Type:visa*****8709                                                    Bin Country Code:BY,Country:ES                                                    Zip Code:49387                                                    City:Ryanview                                                    Address:90006 Danielle Knoll,Amount :973.27                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 72.81.99.90                                                    Order no': a6eb6e9e-2fbe-4b39-81fa-ec06e8ac7a7d                                                    Source: ApprovedCharge                                                    Date:2021-08-18 09:17:49                            Approval Number: 0563870451Bank reference number:    GSqmWCftjaBtSuZGComment:                    Upgradable zero-defect analyzerReference Number 1: 24Card Present: NoReference Number 2: aefbAqiwSQJtJbgW,Original transaction:,Ratio Fee:48.66                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
94,Full Name :Alexander Weaver                                                    Phone:517.592.7639                                                    Email:vgonzalez@ortega-carter.com                                                    Personal Number:                              392-767-5417,Expiritaion date:05/23                                                    Card Type:visa*****6487                                                    Bin Country Code:NP,Country:TH                                                    Zip Code:49715                                                    City:Elizabethstad                                                    Address:03596 Nathan Parks Apt. 133,Amount :384.89                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 179.213.246.67                                                    Order no': 947cdca6-1793-4015-a371-7a87fa1f64de                                                    Source: ApprovedCharge                                                    Date:2021-04-28 09:22:49                            Approval Number: 162278135XBank reference number:    FFOlEqFejzSwOsiPComment:                    Automated homogeneous monitoringReference Number 1: 6526Card Present: NoReference Number 2: rVVQedHKUjoKrKBL,Original transaction:,Ratio Fee:19.24                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
95,Full Name :Sonya Case                                                    Phone:001-235-302-6483x8912                                                    Email:robertallen@gmail.com                                                    Personal Number:                              (591)319-7618x441,Expiritaion date:03/26                                                    Card Type:mastercard*****4905                                                    Bin Country Code:AD,Country:HU                                                    Zip Code:90018                                                    City:North Maryfurt                                                    Address:75021 Anthony Station Apt. 504,Reply Code: 9568,Amount :171.0                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 205.67.178.74                                                    Order no': 282c21ab-d9af-42a7-9ec1-348a84e38594                                                    Source: ApprovedCharge                                                    Date:2021-02-21 07:12:19                            Approval Number: 0293794618Bank reference number:    XEOvJUSXkeXcqDJFComment:                    Innovative methodical archiveReference Number 1: 782Card Present: NoReference Number 2: rCJgwbVRCiSbrgPB,Original transaction:,Ratio Fee:8.55                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
96,Full Name :Joshua Randall                                                    Phone:990-335-4063x19499                                                    Email:ramirezamanda@thornton-simon.info                                                    Personal Number:                              502.561.2605x4350,Expiritaion date:03/28                                                    Card Type:visa*****3038                                                    Bin Country Code:PG,Country:DE                                                    Zip Code:51734                                                    City:East Michael                                                    Address:126 Johnson Islands Suite 911,Amount :788.52                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 211.81.193.230                                                    Order no': 30a55ea4-d68f-4de3-ad59-d213dfabf7e9                                                    Source: ApprovedCharge                                                    Date:2021-01-05 13:04:12                            Approval Number: 0685125319Bank reference number:    wAbSvznmnTElfxBGComment:                    Optional tangible instruction setReference Number 1: 7627Card Present: NoReference Number 2: eJEszHoTiQFKORbY,Original transaction:,Ratio Fee:39.43                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
97,Full Name :Tim Owen                                                    Phone:(951)707-2112x4622                                                    Email:sydney43@long-wallace.com                                                    Personal Number:                              761-236-1831,Expiritaion date:07/25                                                    Card Type:visa*****9904                                                    Bin Country Code:QA,Country:SA                                                    Zip Code:82461                                                    City:South Marcburgh                                                    Address:2874 Reynolds Stravenue Suite 042,Amount :203.58                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 100.7.172.245                                                    Order no': bb6a6d5c-b044-4753-98ad-0d8df4616037                                                    Source: ApprovedCharge                                                    Date:2021-11-01 10:44:09                            Approval Number: 0051860139Bank reference number:    FyeQcCDGwwiqSSADComment:                    Streamlined systematic intranetReference Number 1: 5510Card Present: NoReference Number 2: lUeeXzhZQvSWFaSV,Original transaction:,Ratio Fee:10.18                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
98,Full Name :Rachel Carey                                                    Phone:939-227-8419x69670                                                    Email:sreed@smith.net                                                    Personal Number:                              450-140-2182,Expiritaion date:04/30                                                    Card Type:visa*****3170                                                    Bin Country Code:JP,Country:MH                                                    Zip Code:43633                                                    City:Port Saraview                                                    Address:8875 Chen Shore Apt. 860,Amount :29.49                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 110.1.152.248                                                    Order no': 1fbae0ec-1b77-4396-b55a-bd56fab41d26                                                    Source: ApprovedCharge                                                    Date:2021-01-07 11:43:29                            Approval Number: 0245659587Bank reference number:    TPggxEKIjUDmaMHGComment:                    Configurable homogeneous collaborationReference Number 1: 5967Card Present: NoReference Number 2: gMaFBYZWEtCOVFCX,Original transaction:,Ratio Fee:1.47                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
99,Full Name :Rachel White                                                    Phone:001-806-464-9558x88030                                                    Email:daniel19@hotmail.com                                                    Personal Number:                              +1-437-203-9381x8048,Expiritaion date:01/22                                                    Card Type:visa*****6235                                                    Bin Country Code:BR,Country:KN                                                    Zip Code:64908                                                    City:Lake Richardburgh                                                    Address:01564 Chavez Rue Apt. 795,Amount :88.8                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 108.28.54.125                                                    Order no': 35a89adb-7cde-44a8-90ca-bab0007c2ede                                                    Source: ApprovedCharge                                                    Date:2021-10-30 01:57:01                            Approval Number: 0234951036Bank reference number:    gBJGpjYirADxIPtQComment:                    Configurable high-level algorithmReference Number 1: 283Card Present: NoReference Number 2: rnuadWFSKNmfNizT,Original transaction:,Ratio Fee:4.44                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
100,Full Name :Fernando Cohen                                                    Phone:+1-069-649-5463                                                    Email:jessicagriffith@yahoo.com                                                    Personal Number:                              +1-602-970-8667,Expiritaion date:06/29                                                    Card Type:mastercard*****7563                                                    Bin Country Code:AL,Country:UY                                                    Zip Code:88556                                                    City:North Todd                                                    Address:007 Christina Track,Reply Code: 1633                            central,Amount :110.8                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 42.199.135.235                                                    Order no': 4a26bbfb-6f67-42e3-977b-8ca087fd5f06                                                    Source: ApprovedCharge                                                    Date:2021-02-09 19:50:49                            Approval Number: 1939054826Bank reference number:    sPoSFmRAZWQqdxydComment:                    Re-engineered interactive matrixReference Number 1: 2906Card Present: NoReference Number 2: voQIyttQiFgtjdAj,Original transaction:,Ratio Fee:5.54                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
101,Full Name :Charles Higgins                                                    Phone:230.764.9412                                                    Email:annafischer@gmail.com                                                    Personal Number:                              977.486.4166x86986,Expiritaion date:11/30                                                    Card Type:visa*****4665                                                    Bin Country Code:EC,Country:ME                                                    Zip Code:16608                                                    City:North Frankville                                                    Address:406 Young Ramp,Reply Code: 1257,Amount :610.05                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 163.19.12.167                                                    Order no': 197cc4d6-f2a7-4b0f-bb58-e8d67296fd3a                                                    Source: ApprovedCharge                                                    Date:2021-12-19 07:31:50                            Approval Number: 1045783862Bank reference number:    vxfPUFgTwCgCUvlrComment:                    Digitized maximized frameworkReference Number 1: 2904Card Present: NoReference Number 2: pzNDWeZhKOKBiXih,Original transaction:,Ratio Fee:30.5                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
102,Full Name :Elizabeth Kramer                                                    Phone:(400)817-5633x534                                                    Email:amyrobinson@gmail.com                                                    Personal Number:                              (920)198-0224x36015,Expiritaion date:11/22                                                    Card Type:mastercard*****5298                                                    Bin Country Code:BO,Country:CH                                                    Zip Code:63501                                                    City:Rivaschester                                                    Address:4513 Jennifer Pines,Amount :32.19                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 208.189.124.31                                                    Order no': 303d7a82-05a6-4b04-9fc0-704446d9419a                                                    Source: ApprovedCharge                                                    Date:2021-08-12 05:12:35                            Approval Number: 1226005659Bank reference number:    miBLzxpGHyziYLfYComment:                    Versatile value-added task-forceReference Number 1: 2442Card Present: NoReference Number 2: btqoEQIpKAuVRiPB,Original transaction:,Ratio Fee:1.61                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
103,Full Name :Erin Stewart                                                    Phone:2185056509                                                    Email:stokestravis@hayes-singh.info                                                    Personal Number:                              +1-491-610-7003x1881,Expiritaion date:09/23                                                    Card Type:visa*****2950                                                    Bin Country Code:EE,Country:FJ                                                    Zip Code:29590                                                    City:South Cynthiamouth                                                    Address:713 Barnes Oval,Amount :271.78                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 17.86.101.27                                                    Order no': 82eeec41-8527-47e8-b54c-1dbb87c1d920                                                    Source: ApprovedCharge                                                    Date:2021-01-21 08:12:32                            Approval Number: 0231304501Bank reference number:    mNSGosPChHgMRUbiComment:                    Horizontal dedicated artificial intelligenceReference Number 1: 2757Card Present: NoReference Number 2: cLgKqPcKiASDikae,Original transaction:,Ratio Fee:13.59                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
104,Full Name :Jared Robinson                                                    Phone:001-085-753-5087                                                    Email:michaelhorn@long.com                                                    Personal Number:                              626-889-6562x02459,Expiritaion date:12/22                                                    Card Type:mastercard*****6993                                                    Bin Country Code:KR,Country:GN                                                    Zip Code:90418                                                    City:Andersonberg                                                    Address:044 Debra Lodge Suite 523,Amount :870.75                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 95.83.243.6                                                    Order no': edd0f11e-e372-4e93-b537-e724fca2c523                                                    Source: ApprovedCharge                                                    Date:2021-05-18 15:40:37                            Approval Number: 1232632473Bank reference number:    GhcyQerVTpIKrlYWComment:                    Synergized bifurcated applicationReference Number 1: 1203Card Present: NoReference Number 2: VIsjkqlQDukIXAdA,Original transaction:8381588e-984c-4a68-8473-b7ee1608df01,Ratio Fee:43.54                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
105,Full Name :Nicole Edwards                                                    Phone:214.601.7691x53007                                                    Email:simssara@jordan-kelly.com                                                    Personal Number:                              +1-908-386-8724x85608,Expiritaion date:01/28                                                    Card Type:visa*****8888                                                    Bin Country Code:UY,Country:LB                                                    Zip Code:99424                                                    City:East Lisa                                                    Address:63903 Aaron Camp,Amount :356.29                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 141.140.63.89                                                    Order no': 5179b3fb-fd87-4eec-90ba-f47493847d10                                                    Source: ApprovedCharge                                                    Date:2020-11-05 02:07:48                            Approval Number: 1412903130Bank reference number:    ZNhwjWsQKNRaUyPqComment:                    Cloned methodical infrastructureReference Number 1: 1066Card Present: NoReference Number 2: QveWUcLpzvLQFbDe,Original transaction:,Ratio Fee:17.81                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
106,Full Name :Deanna Dudley PhD                                                    Phone:+1-400-801-0798x8938                                                    Email:kbrown@weaver.com                                                    Personal Number:                              (019)277-6741,Expiritaion date:02/24                                                    Card Type:mastercard*****7968                                                    Bin Country Code:SV,Country:CD                                                    Zip Code:36744                                                    City:Jamesview                                                    Address:11301 Roberts Motorway Apt. 837,Amount :172.95                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 31.104.44.36                                                    Order no': bf5e7a53-c7d2-4d73-98ea-d93143ccfc80                                                    Source: ApprovedCharge                                                    Date:2021-02-19 14:00:05                            Approval Number: 0436557673Bank reference number:    UgYuupfMmWvRsHYWComment:                    Assimilated heuristic solutionReference Number 1: 8345Card Present: NoReference Number 2: uMDLxcZRZPutTTzl,Original transaction:,Ratio Fee:8.65                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0,
107,Full Name :Nicholas Rivera                                                    Phone:+1-771-928-1534                                                    Email:thomasneal@yahoo.com                                                    Personal Number:                              +1-041-199-5942x7155,Expiritaion date:01/29                                                    Card Type:mastercard*****8879                                                    Bin Country Code:EG,Country:HT                                                    Zip Code:53188                                                    City:Lake Jessicafurt                                                    Address:0584 Maddox Village,Reply Code: 2975,Amount :820.9                                                    Credit type: Regular                                                    Installments: 1                                                    Money Transfer: No record                                                    IP Address: 11.135.113.191                                                    Order no': c9f43732-9c4e-42cc-b72e-5788915308f3                                                    Source: ApprovedCharge                                                    Date:2021-07-08 19:38:32                            Approval Number: 0027204456Bank reference number:    YLsobcgpIAjcBuwrComment:                    Stand-alone 4thgeneration focus groupReference Number 1: 7830Card Present: NoReference Number 2: TeGyUjCOcScKqohG,Original transaction:,Ratio Fee:41.05                                                    Transaction Fee:0.5                                                    Chargeback:0                                                    Handling:0                                                    Retrieval:0
